ACCOUNT NAME,LAST DAY OF MONTH,AMOUNT
1199 Receivable from Escrow,02/28/2026,0
1199 Receivable from Escrow,03/31/2025,0
1199 Receivable from Escrow,04/30/2025,0
1199 Receivable from Escrow,05/31/2025,0
1199 Receivable from Escrow,06/30/2025,0
1199 Receivable from Escrow,07/31/2025,0
1199 Receivable from Escrow,08/31/2025,0
1199 Receivable from Escrow,09/30/2025,0
1199 Receivable from Escrow,10/31/2025,0
1199 Receivable from Escrow,11/30/2025,0
1199 Receivable from Escrow,12/31/2025,0
1201 Chlorine Products,01/31/2026,42118.26
1201 Chlorine Products,02/28/2026,42118.26
1201 Chlorine Products,03/31/2025,51552
1201 Chlorine Products,04/30/2025,171840.02
1201 Chlorine Products,05/31/2025,164966.4
1201 Chlorine Products,06/30/2025,120975.37
1201 Chlorine Products,07/31/2025,127024.14
1201 Chlorine Products,08/31/2025,133375.34
1201 Chlorine Products,09/30/2025,140044.11
1201 Chlorine Products,10/31/2025,42013.23
1201 Chlorine Products,11/30/2025,42013.23
1201 Chlorine Products,12/31/2025,42013
1202 Pool Pumps & Filters,01/31/2026,99278.77
1202 Pool Pumps & Filters,02/28/2026,99278.77
1202 Pool Pumps & Filters,03/31/2025,121515.44
1202 Pool Pumps & Filters,04/30/2025,405051.47
1202 Pool Pumps & Filters,05/31/2025,388849.4
1202 Pool Pumps & Filters,06/30/2025,285156.22
1202 Pool Pumps & Filters,07/31/2025,299414.03
1202 Pool Pumps & Filters,08/31/2025,314384.75
1202 Pool Pumps & Filters,09/30/2025,330103.97
1202 Pool Pumps & Filters,10/31/2025,99031.19
1202 Pool Pumps & Filters,11/30/2025,99031.19
1202 Pool Pumps & Filters,12/31/2025,99031
1203 Heaters & Automation Systems,01/31/2026,48135.16
1203 Heaters & Automation Systems,02/28/2026,48135.16
1203 Heaters & Automation Systems,03/31/2025,58916.58
1203 Heaters & Automation Systems,04/30/2025,196388.6
1203 Heaters & Automation Systems,05/31/2025,188533.05
1203 Heaters & Automation Systems,06/30/2025,138257.56
1203 Heaters & Automation Systems,07/31/2025,145170.44
1203 Heaters & Automation Systems,08/31/2025,152428.95
1203 Heaters & Automation Systems,09/30/2025,160050.4
1203 Heaters & Automation Systems,10/31/2025,48015.12
1203 Heaters & Automation Systems,11/30/2025,48015.12
1203 Heaters & Automation Systems,12/31/2025,48015
1204 Cleaning Tools,01/31/2026,66185.85
1204 Cleaning Tools,02/28/2026,66185.85
1204 Cleaning Tools,03/31/2025,81010.29
1204 Cleaning Tools,04/30/2025,270034.3
1204 Cleaning Tools,05/31/2025,259232.94
1204 Cleaning Tools,06/30/2025,190104.16
1204 Cleaning Tools,07/31/2025,199609.36
1204 Cleaning Tools,08/31/2025,209589.83
1204 Cleaning Tools,09/30/2025,220069.31
1204 Cleaning Tools,10/31/2025,66020.8
1204 Cleaning Tools,11/30/2025,66020.8
1204 Cleaning Tools,12/31/2025,66021
1300 Other Current Assets,01/31/2026,9025.35
1300 Other Current Assets,02/28/2026,9025.35
1300 Other Current Assets,03/31/2025,0
1300 Other Current Assets,04/30/2025,0
1300 Other Current Assets,05/31/2025,0
1300 Other Current Assets,06/30/2025,0
1300 Other Current Assets,07/31/2025,0
1300 Other Current Assets,08/31/2025,0
1300 Other Current Assets,09/30/2025,0
1300 Other Current Assets,10/31/2025,0
1300 Other Current Assets,11/30/2025,0
1300 Other Current Assets,12/31/2025,0
1311 Prepaid Deposits,01/31/2026,9025.35
1311 Prepaid Deposits,02/28/2026,9025.35
1311 Prepaid Deposits,03/31/2025,11046.86
1311 Prepaid Deposits,04/30/2025,36822.86
1311 Prepaid Deposits,05/31/2025,35349.95
1311 Prepaid Deposits,06/30/2025,25923.29
1311 Prepaid Deposits,07/31/2025,27219.46
1311 Prepaid Deposits,08/31/2025,28580.43
1311 Prepaid Deposits,09/30/2025,30009.45
1311 Prepaid Deposits,10/31/2025,9002.84
1311 Prepaid Deposits,11/30/2025,9002.84
1311 Prepaid Deposits,12/31/2025,9003
1312 Other Current Receivables,01/31/2026,0
1312 Other Current Receivables,02/28/2026,0
1312 Other Current Receivables,03/31/2025,7364.57
1312 Other Current Receivables,04/30/2025,24548.57
1312 Other Current Receivables,05/31/2025,23566.63
1312 Other Current Receivables,06/30/2025,17282.2
1312 Other Current Receivables,07/31/2025,18146.31
1312 Other Current Receivables,08/31/2025,19053.62
1312 Other Current Receivables,09/30/2025,20006.3
1312 Other Current Receivables,10/31/2025,6001.89
1312 Other Current Receivables,11/30/2025,6001.89
1312 Other Current Receivables,12/31/2025,6002
1320 Investment Account,01/31/2026,0
1320 Investment Account,02/28/2026,0
1320 Investment Account,03/31/2025,0
1320 Investment Account,04/30/2025,0
1320 Investment Account,05/31/2025,0
1320 Investment Account,06/30/2025,0
1320 Investment Account,07/31/2025,0
1320 Investment Account,08/31/2025,0
1320 Investment Account,09/30/2025,0
1320 Investment Account,10/31/2025,0
1320 Investment Account,11/30/2025,0
1320 Investment Account,12/31/2025,0
1321 Interest Receivable,01/31/2026,14134.87
1321 Interest Receivable,02/28/2026,14134.87
1321 Interest Receivable,03/31/2025,11724.18
1321 Interest Receivable,04/30/2025,12710.92
1321 Interest Receivable,05/31/2025,13885.14
1321 Interest Receivable,06/30/2025,13912.81
1321 Interest Receivable,07/31/2025,14024.83
1321 Interest Receivable,08/31/2025,14546.05
1321 Interest Receivable,09/30/2025,15097.62
1321 Interest Receivable,10/31/2025,14742.9
1321 Interest Receivable,11/30/2025,14102.95
1321 Interest Receivable,12/31/2025,14100
1360 Unamortized Commission Expense,01/31/2026,6924.27
1360 Unamortized Commission Expense,02/28/2026,6924.27
1360 Unamortized Commission Expense,03/31/2025,14051.83
1360 Unamortized Commission Expense,04/30/2025,73209.09
1360 Unamortized Commission Expense,05/31/2025,68598.07
1360 Unamortized Commission Expense,06/30/2025,46574.87
1360 Unamortized Commission Expense,07/31/2025,49487.24
1360 Unamortized Commission Expense,08/31/2025,52141.63
1360 Unamortized Commission Expense,09/30/2025,54924.43
1360 Unamortized Commission Expense,10/31/2025,6263.71
1360 Unamortized Commission Expense,11/30/2025,6903.66
1360 Unamortized Commission Expense,12/31/2025,6907
1501 Warehouse Equipment,01/31/2026,321600
1501 Warehouse Equipment,02/28/2026,321600
1501 Warehouse Equipment,03/31/2025,320000
1501 Warehouse Equipment,04/30/2025,320000
1501 Warehouse Equipment,05/31/2025,320000
1501 Warehouse Equipment,06/30/2025,320000
1501 Warehouse Equipment,07/31/2025,320000
1501 Warehouse Equipment,08/31/2025,320000
1501 Warehouse Equipment,09/30/2025,320000
1501 Warehouse Equipment,10/31/2025,320000
1501 Warehouse Equipment,11/30/2025,320000
1501 Warehouse Equipment,12/31/2025,320000
1502 Accumulated Depreciation - Warehouse Equipment,01/31/2026,-292321
1502 Accumulated Depreciation - Warehouse Equipment,02/28/2026,-292321
1502 Accumulated Depreciation - Warehouse Equipment,03/31/2025,-242866.67
1502 Accumulated Depreciation - Warehouse Equipment,04/30/2025,-248200
1502 Accumulated Depreciation - Warehouse Equipment,05/31/2025,-253533.33
1502 Accumulated Depreciation - Warehouse Equipment,06/30/2025,-258866.67
1502 Accumulated Depreciation - Warehouse Equipment,07/31/2025,-264200
1502 Accumulated Depreciation - Warehouse Equipment,08/31/2025,-269533.34
1502 Accumulated Depreciation - Warehouse Equipment,09/30/2025,-274866.66
1502 Accumulated Depreciation - Warehouse Equipment,10/31/2025,-280200
1502 Accumulated Depreciation - Warehouse Equipment,11/30/2025,-285533.34
1502 Accumulated Depreciation - Warehouse Equipment,12/31/2025,-290867
1503 Furniture & Fixtures,01/31/2026,130650
1503 Furniture & Fixtures,02/28/2026,130650
1503 Furniture & Fixtures,03/31/2025,130000
1503 Furniture & Fixtures,04/30/2025,130000
1503 Furniture & Fixtures,05/31/2025,130000
1503 Furniture & Fixtures,06/30/2025,130000
1503 Furniture & Fixtures,07/31/2025,130000
1503 Furniture & Fixtures,08/31/2025,130000
1503 Furniture & Fixtures,09/30/2025,130000
1503 Furniture & Fixtures,10/31/2025,130000
1503 Furniture & Fixtures,11/30/2025,130000
1503 Furniture & Fixtures,12/31/2025,130000
1504 Accumulated Depreciation - Furniture & Fixtures,01/31/2026,-97116.5
1504 Accumulated Depreciation - Furniture & Fixtures,02/28/2026,-97116.5
1504 Accumulated Depreciation - Furniture & Fixtures,03/31/2025,-77133.33
1504 Accumulated Depreciation - Furniture & Fixtures,04/30/2025,-79300
1504 Accumulated Depreciation - Furniture & Fixtures,05/31/2025,-81466.67
1504 Accumulated Depreciation - Furniture & Fixtures,06/30/2025,-83633.33
1504 Accumulated Depreciation - Furniture & Fixtures,07/31/2025,-85800
1504 Accumulated Depreciation - Furniture & Fixtures,08/31/2025,-87966.67
1504 Accumulated Depreciation - Furniture & Fixtures,09/30/2025,-90133.33
1504 Accumulated Depreciation - Furniture & Fixtures,10/31/2025,-92300
1504 Accumulated Depreciation - Furniture & Fixtures,11/30/2025,-94466.67
1504 Accumulated Depreciation - Furniture & Fixtures,12/31/2025,-96633
1505 Delivery Vehicles,01/31/2026,301500
1505 Delivery Vehicles,02/28/2026,301500
1505 Delivery Vehicles,03/31/2025,300000
1505 Delivery Vehicles,04/30/2025,300000
1505 Delivery Vehicles,05/31/2025,300000
1505 Delivery Vehicles,06/30/2025,300000
1505 Delivery Vehicles,07/31/2025,300000
1505 Delivery Vehicles,08/31/2025,300000
1505 Delivery Vehicles,09/30/2025,300000
1505 Delivery Vehicles,10/31/2025,300000
1505 Delivery Vehicles,11/30/2025,300000
1505 Delivery Vehicles,12/31/2025,300000
1506 Accumulated Depreciation -  Delivery Vehicles,01/31/2026,-190950
1506 Accumulated Depreciation -  Delivery Vehicles,02/28/2026,-190950
1506 Accumulated Depreciation -  Delivery Vehicles,03/31/2025,-145000
1506 Accumulated Depreciation -  Delivery Vehicles,04/30/2025,-150000
1506 Accumulated Depreciation -  Delivery Vehicles,05/31/2025,-155000
1506 Accumulated Depreciation -  Delivery Vehicles,06/30/2025,-160000
1506 Accumulated Depreciation -  Delivery Vehicles,07/31/2025,-165000
1506 Accumulated Depreciation -  Delivery Vehicles,08/31/2025,-170000
1506 Accumulated Depreciation -  Delivery Vehicles,09/30/2025,-175000
1506 Accumulated Depreciation -  Delivery Vehicles,10/31/2025,-180000
1506 Accumulated Depreciation -  Delivery Vehicles,11/30/2025,-185000
1506 Accumulated Depreciation -  Delivery Vehicles,12/31/2025,-190000
1900 Other Long Term Assets,01/31/2026,0
1900 Other Long Term Assets,02/28/2026,0
1900 Other Long Term Assets,03/31/2025,0
1900 Other Long Term Assets,04/30/2025,0
1900 Other Long Term Assets,05/31/2025,0
1900 Other Long Term Assets,06/30/2025,0
1900 Other Long Term Assets,07/31/2025,0
1900 Other Long Term Assets,08/31/2025,0
1900 Other Long Term Assets,09/30/2025,0
1900 Other Long Term Assets,10/31/2025,0
1900 Other Long Term Assets,11/30/2025,0
1900 Other Long Term Assets,12/31/2025,0
1930 Long-term Prepaid Expenses,01/31/2026,0
1930 Long-term Prepaid Expenses,02/28/2026,0
1930 Long-term Prepaid Expenses,03/31/2025,0
1930 Long-term Prepaid Expenses,04/30/2025,0
1930 Long-term Prepaid Expenses,05/31/2025,0
1930 Long-term Prepaid Expenses,06/30/2025,0
1930 Long-term Prepaid Expenses,07/31/2025,0
1930 Long-term Prepaid Expenses,08/31/2025,0
1930 Long-term Prepaid Expenses,09/30/2025,0
1930 Long-term Prepaid Expenses,10/31/2025,0
1930 Long-term Prepaid Expenses,11/30/2025,0
1930 Long-term Prepaid Expenses,12/31/2025,0
1998 Intangible Assets,01/31/2026,198081.6
1998 Intangible Assets,02/28/2026,198081.6
1998 Intangible Assets,03/31/2025,216666.67
1998 Intangible Assets,04/30/2025,214583.34
1998 Intangible Assets,05/31/2025,212500
1998 Intangible Assets,06/30/2025,210416.67
1998 Intangible Assets,07/31/2025,208333.34
1998 Intangible Assets,08/31/2025,206250
1998 Intangible Assets,09/30/2025,204166.67
1998 Intangible Assets,10/31/2025,202083.34
1998 Intangible Assets,11/30/2025,200000
1998 Intangible Assets,12/31/2025,197917
1999 Goodwill,01/31/2026,56968.43
1999 Goodwill,02/28/2026,56968.43
1999 Goodwill,03/31/2025,56921
1999 Goodwill,04/30/2025,56921
1999 Goodwill,05/31/2025,56921
1999 Goodwill,06/30/2025,56921
1999 Goodwill,07/31/2025,56921
1999 Goodwill,08/31/2025,56921
1999 Goodwill,09/30/2025,56921
1999 Goodwill,10/31/2025,56921
1999 Goodwill,11/30/2025,56921
1999 Goodwill,12/31/2025,56921
2010 Credit Card 1,01/31/2026,21129.16
2010 Credit Card 1,02/28/2026,21129.16
2010 Credit Card 1,03/31/2025,25776
2010 Credit Card 1,04/30/2025,85920.01
2010 Credit Card 1,05/31/2025,82483.21
2010 Credit Card 1,06/30/2025,60487.68
2010 Credit Card 1,07/31/2025,63512.07
2010 Credit Card 1,08/31/2025,66687.67
2010 Credit Card 1,09/30/2025,70022.06
2010 Credit Card 1,10/31/2025,21006.62
2010 Credit Card 1,11/30/2025,21006.62
2010 Credit Card 1,12/31/2025,21007
2011 Vendor Accounts Payable,01/31/2026,563444.1
2011 Vendor Accounts Payable,02/28/2026,563444.1
2011 Vendor Accounts Payable,03/31/2025,687360.06
2011 Vendor Accounts Payable,04/30/2025,2291200.2
2011 Vendor Accounts Payable,05/31/2025,2199552.2
2011 Vendor Accounts Payable,06/30/2025,1613004.9
2011 Vendor Accounts Payable,07/31/2025,1693655.1
2011 Vendor Accounts Payable,08/31/2025,1778337.9
2011 Vendor Accounts Payable,09/30/2025,1867254.8
2011 Vendor Accounts Payable,10/31/2025,560176.44
2011 Vendor Accounts Payable,11/30/2025,560176.44
2011 Vendor Accounts Payable,12/31/2025,560176
2110 Deferred Revenue,01/31/2026,149797.19
2110 Deferred Revenue,02/28/2026,149797.19
2110 Deferred Revenue,03/31/2025,184114.3
2110 Deferred Revenue,04/30/2025,613714.3
2110 Deferred Revenue,05/31/2025,589165.75
2110 Deferred Revenue,06/30/2025,432054.88
2110 Deferred Revenue,07/31/2025,453657.62
2110 Deferred Revenue,08/31/2025,476340.5
2110 Deferred Revenue,09/30/2025,500157.53
2110 Deferred Revenue,10/31/2025,150047.27
2110 Deferred Revenue,11/30/2025,150047.27
2110 Deferred Revenue,12/31/2025,150047
2119 Freight & Logistics Accounts Payable,01/31/2026,119731.88
2119 Freight & Logistics Accounts Payable,02/28/2026,119731.88
2119 Freight & Logistics Accounts Payable,03/31/2025,146064.02
2119 Freight & Logistics Accounts Payable,04/30/2025,486880.03
2119 Freight & Logistics Accounts Payable,05/31/2025,467404.84
2119 Freight & Logistics Accounts Payable,06/30/2025,342763.53
2119 Freight & Logistics Accounts Payable,07/31/2025,359901.72
2119 Freight & Logistics Accounts Payable,08/31/2025,377896.8
2119 Freight & Logistics Accounts Payable,09/30/2025,396791.66
2119 Freight & Logistics Accounts Payable,10/31/2025,119037.49
2119 Freight & Logistics Accounts Payable,11/30/2025,119037.49
2119 Freight & Logistics Accounts Payable,12/31/2025,119037
2150 Accrued Expenses,01/31/2026,119837.75
2150 Accrued Expenses,02/28/2026,119837.75
2150 Accrued Expenses,03/31/2025,147291.44
2150 Accrued Expenses,04/30/2025,490971.47
2150 Accrued Expenses,05/31/2025,471332.62
2150 Accrued Expenses,06/30/2025,345643.9
2150 Accrued Expenses,07/31/2025,362926.12
2150 Accrued Expenses,08/31/2025,381072.4
2150 Accrued Expenses,09/30/2025,400126.03
2150 Accrued Expenses,10/31/2025,120037.81
2150 Accrued Expenses,11/30/2025,120037.81
2150 Accrued Expenses,12/31/2025,120038
2151 Interest Payable,01/31/2026,5991.89
2151 Interest Payable,02/28/2026,5991.89
2151 Interest Payable,03/31/2025,7364.57
2151 Interest Payable,04/30/2025,24548.57
2151 Interest Payable,05/31/2025,23566.63
2151 Interest Payable,06/30/2025,17282.2
2151 Interest Payable,07/31/2025,18146.31
2151 Interest Payable,08/31/2025,19053.62
2151 Interest Payable,09/30/2025,20006.3
2151 Interest Payable,10/31/2025,6001.89
2151 Interest Payable,11/30/2025,6001.89
2151 Interest Payable,12/31/2025,6002
2156 Deferred Rent Payments,01/31/2026,23967.55
2156 Deferred Rent Payments,02/28/2026,23967.55
2156 Deferred Rent Payments,03/31/2025,29458.29
2156 Deferred Rent Payments,04/30/2025,98194.29
2156 Deferred Rent Payments,05/31/2025,94266.52
2156 Deferred Rent Payments,06/30/2025,69128.78
2156 Deferred Rent Payments,07/31/2025,72585.22
2156 Deferred Rent Payments,08/31/2025,76214.48
2156 Deferred Rent Payments,09/30/2025,80025.21
2156 Deferred Rent Payments,10/31/2025,24007.56
2156 Deferred Rent Payments,11/30/2025,24007.56
2156 Deferred Rent Payments,12/31/2025,24008
2157 Deferred Credit - Marketing,01/31/2026,11983.77
2157 Deferred Credit - Marketing,02/28/2026,11983.77
2157 Deferred Credit - Marketing,03/31/2025,14729.14
2157 Deferred Credit - Marketing,04/30/2025,49097.15
2157 Deferred Credit - Marketing,05/31/2025,47133.26
2157 Deferred Credit - Marketing,06/30/2025,34564.39
2157 Deferred Credit - Marketing,07/31/2025,36292.61
2157 Deferred Credit - Marketing,08/31/2025,38107.24
2157 Deferred Credit - Marketing,09/30/2025,40012.6
2157 Deferred Credit - Marketing,10/31/2025,12003.78
2157 Deferred Credit - Marketing,11/30/2025,12003.78
2157 Deferred Credit - Marketing,12/31/2025,12004
2190 ST Lease Liabilities,01/31/2026,41943.21
2190 ST Lease Liabilities,02/28/2026,41943.21
2190 ST Lease Liabilities,03/31/2025,51552
2190 ST Lease Liabilities,04/30/2025,171840.02
2190 ST Lease Liabilities,05/31/2025,164966.4
2190 ST Lease Liabilities,06/30/2025,120975.37
2190 ST Lease Liabilities,07/31/2025,127024.14
2190 ST Lease Liabilities,08/31/2025,133375.34
2190 ST Lease Liabilities,09/30/2025,140044.11
2190 ST Lease Liabilities,10/31/2025,42013.23
2190 ST Lease Liabilities,11/30/2025,42013.23
2190 ST Lease Liabilities,12/31/2025,42013
2200 Accrued Payroll Expense,01/31/2026,0
2200 Accrued Payroll Expense,02/28/2026,0
2200 Accrued Payroll Expense,03/31/2025,0
2200 Accrued Payroll Expense,04/30/2025,0
2200 Accrued Payroll Expense,05/31/2025,0
2200 Accrued Payroll Expense,06/30/2025,0
2200 Accrued Payroll Expense,07/31/2025,0
2200 Accrued Payroll Expense,08/31/2025,0
2200 Accrued Payroll Expense,09/30/2025,0
2200 Accrued Payroll Expense,10/31/2025,0
2200 Accrued Payroll Expense,11/30/2025,0
2200 Accrued Payroll Expense,12/31/2025,0
2205 Accrued Bonus,01/31/2026,29959.43
2205 Accrued Bonus,02/28/2026,29959.43
2205 Accrued Bonus,03/31/2025,36822.86
2205 Accrued Bonus,04/30/2025,122742.87
2205 Accrued Bonus,05/31/2025,117833.15
2205 Accrued Bonus,06/30/2025,86410.98
2205 Accrued Bonus,07/31/2025,90731.53
2205 Accrued Bonus,08/31/2025,95268.1
2205 Accrued Bonus,09/30/2025,100031.51
2205 Accrued Bonus,10/31/2025,30009.45
2205 Accrued Bonus,11/30/2025,30009.45
2205 Accrued Bonus,12/31/2025,30009
2210 Accrued Commissions,01/31/2026,23967.55
2210 Accrued Commissions,02/28/2026,23967.55
2210 Accrued Commissions,03/31/2025,29458.29
2210 Accrued Commissions,04/30/2025,98194.29
2210 Accrued Commissions,05/31/2025,94266.52
2210 Accrued Commissions,06/30/2025,69128.78
2210 Accrued Commissions,07/31/2025,72585.22
2210 Accrued Commissions,08/31/2025,76214.48
2210 Accrued Commissions,09/30/2025,80025.21
2210 Accrued Commissions,10/31/2025,24007.56
2210 Accrued Commissions,11/30/2025,24007.56
2210 Accrued Commissions,12/31/2025,24008
2220 Payroll Taxes Payable,01/31/2026,23967.55
2220 Payroll Taxes Payable,02/28/2026,23967.55
2220 Payroll Taxes Payable,03/31/2025,29458.29
2220 Payroll Taxes Payable,04/30/2025,98194.29
2220 Payroll Taxes Payable,05/31/2025,94266.52
2220 Payroll Taxes Payable,06/30/2025,69128.78
2220 Payroll Taxes Payable,07/31/2025,72585.22
2220 Payroll Taxes Payable,08/31/2025,76214.48
2220 Payroll Taxes Payable,09/30/2025,80025.21
2220 Payroll Taxes Payable,10/31/2025,24007.56
2220 Payroll Taxes Payable,11/30/2025,24007.56
2220 Payroll Taxes Payable,12/31/2025,24008
2230 401K Payable,01/31/2026,11983.77
2230 401K Payable,02/28/2026,11983.77
2230 401K Payable,03/31/2025,14729.14
2230 401K Payable,04/30/2025,49097.15
2230 401K Payable,05/31/2025,47133.26
2230 401K Payable,06/30/2025,34564.39
2230 401K Payable,07/31/2025,36292.61
2230 401K Payable,08/31/2025,38107.24
2230 401K Payable,09/30/2025,40012.6
2230 401K Payable,10/31/2025,12003.78
2230 401K Payable,11/30/2025,12003.78
2230 401K Payable,12/31/2025,12004
2240 HSA Payable,01/31/2026,2995.95
2240 HSA Payable,02/28/2026,2995.95
2240 HSA Payable,03/31/2025,3682.29
2240 HSA Payable,04/30/2025,12274.29
2240 HSA Payable,05/31/2025,11783.32
2240 HSA Payable,06/30/2025,8641.1
2240 HSA Payable,07/31/2025,9073.15
2240 HSA Payable,08/31/2025,9526.81
2240 HSA Payable,09/30/2025,10003.15
2240 HSA Payable,10/31/2025,3000.95
2240 HSA Payable,11/30/2025,3000.95
2240 HSA Payable,12/31/2025,3001
2260 Accrued Benefits,01/31/2026,14979.72
2260 Accrued Benefits,02/28/2026,14979.72
2260 Accrued Benefits,03/31/2025,18411.43
2260 Accrued Benefits,04/30/2025,61371.43
2260 Accrued Benefits,05/31/2025,58916.58
2260 Accrued Benefits,06/30/2025,43205.49
2260 Accrued Benefits,07/31/2025,45365.76
2260 Accrued Benefits,08/31/2025,47634.05
2260 Accrued Benefits,09/30/2025,50015.75
2260 Accrued Benefits,10/31/2025,15004.73
2260 Accrued Benefits,11/30/2025,15004.73
2260 Accrued Benefits,12/31/2025,15005
2261 Medical - FSA,01/31/2026,2995.95
2261 Medical - FSA,02/28/2026,2995.95
2261 Medical - FSA,03/31/2025,3682.29
2261 Medical - FSA,04/30/2025,12274.29
2261 Medical - FSA,05/31/2025,11783.32
2261 Medical - FSA,06/30/2025,8641.1
2261 Medical - FSA,07/31/2025,9073.15
2261 Medical - FSA,08/31/2025,9526.81
2261 Medical - FSA,09/30/2025,10003.15
2261 Medical - FSA,10/31/2025,3000.95
2261 Medical - FSA,11/30/2025,3000.95
2261 Medical - FSA,12/31/2025,3001
2262 Transportation - FSA,01/31/2026,1797.57
2262 Transportation - FSA,02/28/2026,1797.57
2262 Transportation - FSA,03/31/2025,2209.37
2262 Transportation - FSA,04/30/2025,7364.57
2262 Transportation - FSA,05/31/2025,7069.99
2262 Transportation - FSA,06/30/2025,5184.66
2262 Transportation - FSA,07/31/2025,5443.89
2262 Transportation - FSA,08/31/2025,5716.09
2262 Transportation - FSA,09/30/2025,6001.89
2262 Transportation - FSA,10/31/2025,1800.57
2262 Transportation - FSA,11/30/2025,1800.57
2262 Transportation - FSA,12/31/2025,1801
2301 Sales Taxes Payable,01/31/2026,133019.9
2301 Sales Taxes Payable,02/28/2026,133019.9
2301 Sales Taxes Payable,03/31/2025,163493.5
2301 Sales Taxes Payable,04/30/2025,544978.3
2301 Sales Taxes Payable,05/31/2025,523179.2
2301 Sales Taxes Payable,06/30/2025,383664.75
2301 Sales Taxes Payable,07/31/2025,402847.97
2301 Sales Taxes Payable,08/31/2025,422990.38
2301 Sales Taxes Payable,09/30/2025,444139.9
2301 Sales Taxes Payable,10/31/2025,133241.97
2301 Sales Taxes Payable,11/30/2025,133241.97
2301 Sales Taxes Payable,12/31/2025,133242
